metric,value
n_before,138
n_after,55
avg_lead_before,15.729589
avg_lead_after,14.000000
lead_delta_hours,-1.729589
lead_delta_ci95_low,-2.129227
lead_delta_ci95_high,-1.335743
lead_permutation_p,0.000020
overall_adjustment_rate_before,0.003217
overall_adjustment_rate_after,0.000568
avg_daily_adjustment_rate_before,0.003225
avg_daily_adjustment_rate_after,0.000555
daily_adjustment_rate_delta,-0.002670
daily_adjustment_rate_delta_ci95_low,-0.003596
daily_adjustment_rate_delta_ci95_high,-0.001828
adjustment_rate_permutation_p,0.000300
adjustment_rate_relative_reduction_pct,82.350198
late_after_17_before,0.246377
late_after_17_after,0.000000
lead_adjustment_corr_before,0.654127
lead_adjustment_corr_perm_p,0.000020
cliffs_delta_lead_before_vs_after,0.615942
cliffs_delta_adjustment_before_vs_after,0.449671
